hor_codigo;hor_descricao;hor_concentracao;hor_forma_farmaceutica;hor_volume;hor_un_fornecimento
BR0353564;GLICOSE;50%;SOLUÇÃO INJETÁVEL ;500 ML SISTEMA FECHADO;UM
BR0269882-1;GLUTARAL SOLUÇÃO 2% COM PÓ ATIVADOR PARA 14 DIAS 1 L;null null;;null null;FRASCO
BR0269882-2;GLUTARAL SOLUÇÃO 2% COM PÓ ATIVADOR PARA 14 DIAS 5L ;null null;;null null;FRASCO
BR0269883-2;GLUTARAL, SOLUÇÃO A 2%, COM PÓ ATIVADOR PARA 28 DIAS, GALÃO 1 L;null null;;null null;FRASCO
BR0269883-1;GLUTARAL, SOLUÇÃO A 2%, COM PÓ ATIVADOR PARA 28 DIAS, GALÃO 5 L;null null;;null null;UM
BR0395620;GLYCINE MAX (ISOFLAVONA DE SOJA);150 MG;CÁPSULA ;;CAPSULA
BR0404690;GLYCINE MAX (ISOFLAVONA DE SOJA);75 MG;CÁPSULA ;;CAPSULA
BR0267669;HALOPERIDOL;5 MG;COMPRIMIDO;;COMPRIMIDO
BR0292195-1;HALOPERIDOL;2 MG/ML;SOLUÇÃO ORAL ;10 ML;FRASCO
BR0292195-2;HALOPERIDOL;2 MG/ML;SOLUÇÃO ORAL ;20 ML;FRASCO
BR0267670;HALOPERIDOL;1 MG;COMPRIMIDO;;COMPRIMIDO
BR0292196;HALOPERIDOL;5 MG/ML;SOLUÇÃO INJETÁVEL ;1 ML;AMPOLA
BR0292195-3;HALOPERIDOL;2 MG/ML;SOLUÇÃO ORAL ;30 ML;FRASCO
BR0292194;HALOPERIDOL, DECANOATO;(70,52 MG) 50 MG/ML;SOLUÇÃO INJETÁVEL ;1 ML;AMPOLA
BR0399410;HARPAGOPHYTUM PROCUBENS (GARRA DO DIABO);500 MG;CÁPSULA ;;CAPSULA
BR0417285;HARPAGOPHYTUM PROCUBENS (GARRA DO DIABO);200 MG;CÁPSULA ;;CAPSULA
BR0393339;HARPAGOPHYTUM PROCUBENS (GARRA DO DIABO);400 MG;COMPRIMIDO;;COMPRIMIDO
BR0268463;HEPARINA SÓDICA;5000/0,25 UI/ML;SOLUÇÃO INJETÁVEL ;0,25 ML;AMPOLA
BR0268112;HIDRALAZINA, CLORIDRATO;50 MG;DRÁGEA;;DRAGEA
BR0268111 ;HIDRALAZINA, CLORIDRATO;25 MG;DRÁGEA;;DRAGEA
BR0267674;HIDROCLOROTIAZIDA ;25 MG;COMPRIMIDO;;COMPRIMIDO
BR0364324;HIDROCLOROTIAZIDA ;12,5 MG;COMPRIMIDO;null null;COMPRIMIDO
BR0345240-3;HIDROCORTISONA, ACETATO;10 MG/G;CREME ;20 G;BISNAGA
BR0345240-2;HIDROCORTISONA, ACETATO;10 MG/G;CREME ;30 G;BISNAGA
BR0345240-1;HIDROCORTISONA, ACETATO;10 MG/G;CREME ;15 G;BISNAGA
BR0270220;HIDROCORTISONA, SUCCINATO SÓDICO;100 MG;PÓ PARA SOLUÇÃO INJETÁVEL;;FRASCO-AMPOLA
BR0342134;HIDROCORTISONA, SUCCINATO SÓDICO;500 MG;PÓ PARA SOLUÇÃO INJETÁVEL;;FRASCO-AMPOLA
BR0340783-3;HIDRÓXIDO DE ALUMÍNIO;61,5 MG/ML;SUSPENSÃO ORAL ;150 ML;FRASCO
BR0340783-2;HIDRÓXIDO DE ALUMÍNIO;61,5 MG/ML;SUSPENSÃO ORAL ;100 ML;FRASCO
BR0267271;HIDRÓXIDO DE ALUMÍNIO;300 MG;COMPRIMIDO;;COMPRIMIDO
BR0340783-4;HIDRÓXIDO DE ALUMÍNIO;61,5 MG/ML;SUSPENSÃO ORAL ;240 ML;FRASCO
BR0367514;HIDRÓXIDO DE ALUMÍNIO;230 MG;COMPRIMIDO;null null;COMPRIMIDO
BR0343303-1;HIPOCLORITO DE SÓDIO;1%;SOLUÇÃO;1000 ML;FRASCO
BR0343303-2;HIPOCLORITO DE SÓDIO 1% SOLUÇÃO 5 L;null null;;;FRASCO
BR0373909-1;HIPROMELOSE;3 MG/ML;SOLUÇÃO OFTÁLMICA;5 ML;FRASCO
BR0373909-2;HIPROMELOSE;3 MG/ML;SOLUÇÃO OFTÁLMICA;10 ML;FRASCO
BR0373909-3;HIPROMELOSE;3 MG/ML;SOLUÇÃO OFTÁLMICA;15 ML;FRASCO
BR0270042;HIPROMELOSE;5 MG/ML;SOLUÇÃO OFTÁLMICA;10 ML;FRASCO
BR0267677;IBUPROFENO ;300 MG;COMPRIMIDO;;COMPRIMIDO
BR0267676;IBUPROFENO ;600 MG;COMPRIMIDO;;COMPRIMIDO
BR0332754;IBUPROFENO ;50 MG/ML;SUSPENSÃO ORAL ;30 ML;FRASCO
BR0294648;IBUPROFENO ;200 MG;COMPRIMIDO;;COMPRIMIDO
BR0271157-1;INSULINA HUMANA NPH;100 UI/ML;SUSPENSÃO INJETÁVEL;3 ML;CARPULE
BR0271157-2;INSULINA HUMANA NPH;100 UI/ML;SUSPENSÃO INJETÁVEL;10 ML;FRASCO-AMPOLA
BR0271154-1;INSULINA HUMANA REGULAR;100 UI/ML;SOLUÇÃO INJETÁVEL ;10 ML;FRASCO-AMPOLA
BR0271154-2;INSULINA HUMANA REGULAR;100 UI/ML;SOLUÇÃO INJETÁVEL ;3 ML;CARPULE
BR0327215;IODO + IODETO DE POTÁSSIO 20 + 40 MG/ML (LUGOL 2 %) SOLUÇÃO 1 L;null null;;null null;FRASCO
BR0268331-2;IPRATRÓPIO, BROMETO ;0,25 MG/ML;SOLUÇÃO PARA INALAÇÃO;20 ML;FRASCO
BR0268331-1;IPRATRÓPIO, BROMETO ;0,25 MG/ML;SOLUÇÃO PARA INALAÇÃO;15 ML;FRASCO
BR0268332;IPRATRÓPIO, BROMETO ;0,02 MG/DOSE;PÓ PARA INALAÇÃO ORAL;200 DOSES;FRASCO
BR0273395;ISOSSORBIDA, DINITRATO;5 MG;COMPRIMIDO SUBLINGUAL ;;COMPRIMIDO
BR0273401;ISOSSORBIDA, MONONITRATO;40 MG;COMPRIMIDO;;COMPRIMIDO
BR0273400;ISOSSORBIDA, MONONITRATO;20 MG;COMPRIMIDO;;COMPRIMIDO
BR0268861;ITRACONAZOL;100 MG;CÁPSULA ;;CAPSULA
BR0273328;IVERMECTINA;6 MG;COMPRIMIDO;;COMPRIMIDO
BR0305247-2;LACTULOSE;667 MG/ML;XAROPE ;120 ML;FRASCO
BR0389338;LANCETA, AÇO INOXIDÁVEL, TRIFACETADA, ULTRA FINA, DESCARTÁVEL, ESTÉRIL;null null;;;UM
BR0303151;LANCETA, AÇO INOXIDÁVEL,PONTA AFIADA,TRIFACETADA, DESCARTÁVEL, ESTÉRIL, EMBALAGEM INDIVIDUAL;null null;;;UM
BR0270127-2;LEVODOPA + BENSERAZIDA ;100 + 25 MG;CÁPSULA ;;CAPSULA
BR0270127-1;LEVODOPA + BENSERAZIDA ;100 + 25 MG;COMPRIMIDO;;COMPRIMIDO
BR0270126;LEVODOPA + BENSERAZIDA ;200 + 50 MG;COMPRIMIDO;;COMPRIMIDO
BR0270129;LEVODOPA + CARBIDOPA ;200 + 50  MG;COMPRIMIDO;;COMPRIMIDO
BR0270130;LEVODOPA + CARBIDOPA ;250 + 25 MG;COMPRIMIDO;;COMPRIMIDO
BR0295853;LEVONORGESTREL;1,5 MG;COMPRIMIDO;;COMPRIMIDO
BR0268956;LEVONORGESTREL;0,75 MG;COMPRIMIDO;;CARTELA
BR0272789;LEVONORGESTREL + ETINILESTRADIOL; 0,15 + 0,03 MG;COMPRIMIDO;;CARTELA
BR0268125;LEVOTIROXINA SÓDICA;100 MCG;COMPRIMIDO;;COMPRIMIDO
BR0268123;LEVOTIROXINA SÓDICA;50 MCG;COMPRIMIDO;;COMPRIMIDO
BR0268124;LEVOTIROXINA SÓDICA;25 MCG;COMPRIMIDO;;COMPRIMIDO
BR0269842-2;LIDOCAÍNA, CLORIDRATO;10 MG/ML;SOLUÇÃO INJETÁVEL ;20 ML;FRASCO
BR0269843-1;LIDOCAÍNA, CLORIDRATO;20 MG/ML;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0269843-3;LIDOCAÍNA, CLORIDRATO;20 MG/ML;SOLUÇÃO INJETÁVEL ;1,8 ML;TUBETE
BR0269842-3;LIDOCAÍNA, CLORIDRATO;10 MG/ML;SOLUÇÃO INJETÁVEL ;50 ML;FRASCO
BR0269842-1;LIDOCAÍNA, CLORIDRATO;10 MG/ML;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0269845-2;LIDOCAÍNA, CLORIDRATO;100 MG/ML;SOLUÇÃO TÓPICA;70 ML;FRASCO
BR0269846-1;LIDOCAÍNA, CLORIDRATO;20 MG/G;GELÉIA;10 G;BISNAGA
BR0269843-2;LIDOCAÍNA, CLORIDRATO;20 MG/ML;SOLUÇÃO INJETÁVEL ;20 ML;AMPOLA
BR0269845-1;LIDOCAÍNA, CLORIDRATO;100 MG/ML;SOLUÇÃO TÓPICA;50 ML;FRASCO
BR0269846-2;LIDOCAÍNA, CLORIDRATO;20 MG/G;GELÉIA;30 G;BISNAGA
BR0275402;LIDOCAÍNA, CLORIDRATO + EPINEFRINA;10 MG/ML + 1.200.000  UI;FRASCO;20 ML;FRASCO
BR0269852-1;LIDOCAÍNA, CLORIDRATO + EPINEFRINA;20 MG/ML + 1:200.000 UI;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0269852-2;LIDOCAÍNA, CLORIDRATO + EPINEFRINA;20 MG/ML + 1:200.000 UI;SOLUÇÃO INJETÁVEL ;20 ML;AMPOLA
BR0397428-1;LIDOCAÍNA, CLORIDRATO + EPINEFRINA;2% + 1:80.000;SOLUÇÃO INJETÁVEL ;1,8 ML;TUBETE
BR0397428-2;LIDOCAÍNA, CLORIDRATO + EPINEFRINA;2% + 1:80.000;SOLUÇÃO INJETÁVEL ;20 ML;Fr-amp
BR0269848;LIDOCAÍNA, CLORIDRATO + GLICOSE;50 + 75 MG/ML;SOLUÇÃO INJETÁVEL ;2 ML;AMPOLA
BR0273466;LORATADINA;10 MG;COMPRIMIDO;;COMPRIMIDO
BR0273467-1;LORATADINA;1 MG/ML;XAROPE ;60 ML;FRASCO
BR0273467-2;LORATADINA;1 MG/ML;XAROPE ;100 ML;FRASCO
BR0273467;LORATADINA;1 MG/ML;XAROPE ;120 ML;FRASCO
BR0268856;LOSARTANA POTÁSSICA;50 MG;COMPRIMIDO;;COMPRIMIDO
BR0407030-2;MAGNÉSIO, SULFATO;990 MG/G;PÓ PARA SOLUÇÃO ORAL;30 G;ENVELOPE
BR0268075;MAGNÉSIO, SULFATO;50%;SOLUÇÃO INJETÁVEL ;10 ML;AMPOLA
BR0407030-1;MAGNÉSIO, SULFATO;990 MG/G;PÓ PARA SOLUÇÃO ORAL;15 G;SACHE
BR0268076;MAGNÉSIO, SULFATO;10%;SOLUÇÃO INJETÁVEL ;10 ML;AMPOLA
BR0396450;MAYTENUS ILICIFOLIA (ESPINHEIRA SANTA);380 MG;CÁPSULA ;;CAPSULA
BR0399411;MAYTENUS ILICIFOLIA (ESPINHEIRA SANTA);12 MG/ML;TINTURA;100 ML;FRASCO
BR0399412;MAYTENUS ILICIFOLIA (ESPINHEIRA SANTA);500 MG;CÁPSULA ;;CAPSULA
BR0292227;MEDROXIPROGESTERONA, ACETATO;50 MG/ML;SOLUÇÃO INJETÁVEL ;1 ML;FRASCO-AMPOLA
BR0271445;MEDROXIPROGESTERONA, ACETATO;10 MG;COMPRIMIDO;;COMPRIMIDO
BR0292228;MEDROXIPROGESTERONA, ACETATO;150 MG/ML;SOLUÇÃO INJETÁVEL ;1 ML;AMPOLA
BR0267690;METFORMINA, CLORIDRATO;500 MG;COMPRIMIDO;;COMPRIMIDO
BR0267691;METFORMINA, CLORIDRATO;850 MG;COMPRIMIDO;;COMPRIMIDO
BR0267689;METILDOPA ;250 MG;COMPRIMIDO;;COMPRIMIDO
BR0267312;METOCLOPRAMIDA, CLORIDRATO;10 MG;COMPRIMIDO;;COMPRIMIDO
BR0267310;METOCLOPRAMIDA, CLORIDRATO;5 MG/ML;SOLUÇÃO INJETÁVEL ;2 ML;AMPOLA
BR0267311;METOCLOPRAMIDA, CLORIDRATO;4 MG/ML;SOLUÇÃO ORAL ;10 ML;FRASCO
BR0276656;METOPROLOL, SUCCINATO;25 MG;COMPRIMIDO DE LIBERAÇÃO CONTROLADA ;;COMPRIMIDO
BR0276657;METOPROLOL, SUCCINATO;50 MG;COMPRIMIDO DE LIBERAÇÃO CONTROLADA ;;COMPRIMIDO
BR0276658;METOPROLOL, SUCCINATO;100 MG;COMPRIMIDO DE LIBERAÇÃO CONTROLADA ;;COMPRIMIDO
BR0394650;METOPROLOL, TARTARATO;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0372335;METRONIDAZOL;100 MG/G;GEL VAGINAL ;50 G;BISNAGA
BR0267717;METRONIDAZOL;250 MG;COMPRIMIDO;;COMPRIMIDO
BR0268499;METRONIDAZOL;400 MG;COMPRIMIDO;;COMPRIMIDO
BR0266863-2;METRONIDAZOL (BENZOILMETRONIDAZOL);40 MG/ML;SUSPENSÃO ORAL ;100 ML;FRASCO
BR0266863-3;METRONIDAZOL (BENZOILMETRONIDAZOL);40 MG/ML;SUSPENSÃO ORAL ;120 ML;FRASCO
BR0266863-1;METRONIDAZOL (BENZOILMETRONIDAZOL);40 MG/ML;SUSPENSÃO ORAL ;80 ML;FRASCO
BR0268162-2;MICONAZOL, NITRATO;2%;CREME VAGINAL ;80 G;BISNAGA
BR0268286-2;MICONAZOL, NITRATO;2%;CREME ;80 G;BISNAGA
BR0268267 ;MICONAZOL, NITRATO;2%;LOÇÃO ;30 ML;FRASCO
BR0268269 ;MICONAZOL, NITRATO;2%;GEL ORAL ;40 G;BISNAGA
BR0268268;MICONAZOL, NITRATO;2%;PÓ;30 G;FRASCO
BR0268286-1;MICONAZOL, NITRATO;2%;CREME ;28 G;BISNAGA
BR0268162-1;MICONAZOL, NITRATO;2%;CREME VAGINAL ;60 G;BISNAGA
BR0271556;MIDAZOLAM, CLORIDRATO;2 MG/ML;SOLUÇÃO ORAL ;10 ML;FRASCO
BR0395631-1;MIKANIA GLOMERATA (GUACO);0,05 ML/ML;XAROPE ;100 ML;FRASCO
